seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged,max_rel_excess
7,independent,9,6.943350875552825,6.943350875552825,1,0,20,-20,500,false,89.0
7,independent,11,2.7878017938020565,2.7878017938020565,1,0,20,-20,500,false,89.0
7,independent,19,2.9686047033484226,2.9686047033484226,1,0,20,-20,500,false,89.0
7,independent,8,2.9966749371583004,2.9966749371583004,1,0,20,-20,500,false,89.0
7,independent,20,3.5775470048959246,3.5775470048959246,1,0,20,-20,500,false,89.0
8,correlated,9,9.825631577978275,9.825631577978275,8,20,20,0,500,false,61.0
8,correlated,18,1.9360024604852664,1.9360024604852664,1,0,20,-20,500,false,61.0
8,correlated,13,7.173959213963667,7.173959213963667,2,0,20,-20,500,false,61.0
8,correlated,5,6.082169064445433,6.082169064445433,1,80,20,60,500,false,61.0
8,correlated,20,5.444273951584587,5.444273951584587,1,0,20,-20,500,false,61.0
8,correlated,1,9.501171827905713,9.501171827905713,7,20,20,0,500,false,61.0
8,correlated,4,3.08972461651652,3.08972461651652,1,0,20,-20,500,false,61.0
8,correlated,3,9.870628429428152,9.870628429428152,8,20,20,0,500,false,61.0
8,correlated,7,3.0922549917616475,3.0922549917616475,1,0,20,-20,500,false,61.0
8,correlated,8,2.5505062416175557,2.5505062416175557,1,0,20,-20,500,false,61.0
8,correlated,16,3.9181344029512504,3.9181344029512504,1,0,20,-20,500,false,61.0
8,correlated,11,8.793223105204605,8.793223105204605,5,0,20,-20,500,false,61.0
8,correlated,14,8.034567974426318,8.034567974426318,3,0,20,-20,500,false,61.0
8,correlated,6,5.738123425667583,5.738123425667583,1,0,20,-20,500,false,61.0
8,correlated,12,8.557766151652652,8.557766151652652,3,120,20,100,500,false,61.0
8,correlated,10,7.66403221384154,7.66403221384154,2,60,20,40,500,false,61.0
8,correlated,15,6.73993074653036,6.73993074653036,1,1240,20,1220,500,false,61.0
8,correlated,2,3.551247827175343,3.551247827175343,1,0,20,-20,500,false,61.0
