seed,mode,agent_idx,cons,sec_count,n_sec_types,utility,tat_iters,converged
11,correlated,1,400,19,13,10.680427605289552,500,false
11,correlated,2,400,19,13,10.680427605289552,500,false
11,correlated,3,400,19,13,10.680427605289552,500,false
11,correlated,4,400,19,13,10.680427605289552,500,false
11,correlated,5,400,19,13,10.680427605289552,500,false
11,correlated,6,400,19,13,10.680427605289552,500,false
11,correlated,7,400,19,13,10.680427605289552,500,false
11,correlated,8,400,19,13,10.680427605289552,500,false
11,correlated,9,400,19,13,10.680427605289552,500,false
11,correlated,10,400,19,13,10.680427605289552,500,false
11,correlated,11,400,19,13,10.680427605289552,500,false
11,correlated,12,400,19,13,10.680427605289552,500,false
11,correlated,13,400,19,13,10.680427605289552,500,false
11,correlated,14,400,19,13,10.680427605289552,500,false
11,correlated,15,400,19,13,10.680427605289552,500,false
11,correlated,16,400,19,13,10.680427605289552,500,false
11,correlated,17,400,19,13,10.680427605289552,500,false
11,correlated,18,400,19,13,10.680427605289552,500,false
11,correlated,19,400,19,13,10.680427605289552,500,false
11,correlated,20,400,19,13,10.680427605289552,500,false
11,independent,1,380,19,7,10.660049423463022,500,false
11,independent,2,380,19,7,10.660049423463022,500,false
11,independent,3,380,19,7,10.660049423463022,500,false
11,independent,4,380,19,7,10.660049423463022,500,false
11,independent,5,380,19,7,10.660049423463022,500,false
11,independent,6,380,19,7,10.660049423463022,500,false
11,independent,7,380,19,7,10.660049423463022,500,false
11,independent,8,380,19,7,10.660049423463022,500,false
11,independent,9,380,19,7,10.660049423463022,500,false
11,independent,10,380,19,7,10.660049423463022,500,false
11,independent,11,380,19,7,10.660049423463022,500,false
11,independent,12,380,19,7,10.660049423463022,500,false
11,independent,13,380,19,7,10.660049423463022,500,false
11,independent,14,380,19,7,10.660049423463022,500,false
11,independent,15,380,19,7,10.660049423463022,500,false
11,independent,16,380,19,7,10.660049423463022,500,false
11,independent,17,380,19,7,10.660049423463022,500,false
11,independent,18,380,19,7,10.660049423463022,500,false
11,independent,19,380,19,7,10.660049423463022,500,false
11,independent,20,380,19,7,10.660049423463022,500,false
12,correlated,1,378,20,12,10.619479067440047,500,false
12,correlated,2,378,20,12,10.619479067440047,500,false
12,correlated,3,378,20,12,10.619479067440047,500,false
12,correlated,4,378,20,12,10.619479067440047,500,false
12,correlated,5,378,20,12,10.619479067440047,500,false
12,correlated,6,378,20,12,10.619479067440047,500,false
12,correlated,7,378,20,12,10.619479067440047,500,false
12,correlated,8,378,20,12,10.619479067440047,500,false
12,correlated,9,378,20,12,10.619479067440047,500,false
12,correlated,10,378,20,12,10.619479067440047,500,false
12,correlated,11,378,20,12,10.619479067440047,500,false
12,correlated,12,378,20,12,10.619479067440047,500,false
12,correlated,13,378,20,12,10.619479067440047,500,false
12,correlated,14,378,20,12,10.619479067440047,500,false
12,correlated,15,378,20,12,10.619479067440047,500,false
12,correlated,16,378,20,12,10.619479067440047,500,false
12,correlated,17,378,20,12,10.619479067440047,500,false
12,correlated,18,378,20,12,10.619479067440047,500,false
12,correlated,19,378,20,12,10.619479067440047,500,false
12,correlated,20,378,20,12,10.619479067440047,500,false
12,independent,1,363,20,8,10.599510525979277,500,false
12,independent,2,363,20,8,10.599510525979277,500,false
12,independent,3,363,20,8,10.599510525979277,500,false
12,independent,4,363,20,8,10.599510525979277,500,false
12,independent,5,363,20,8,10.599510525979277,500,false
12,independent,6,363,20,8,10.599510525979277,500,false
12,independent,7,363,20,8,10.599510525979277,500,false
