seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged
177,independent,7,4.064484222264679,4.064484222264679,15,60,20,40,500,false
177,independent,10,4.200822143643997,4.200822143643997,19,0,20,-20,500,false
177,independent,9,5.6820111915633325,5.6820111915633325,27,0,20,-20,500,false
177,independent,3,3.3550016280107715,3.3550016280107715,12,60,20,40,500,false
177,independent,2,5.151200615414255,5.151200615414255,21,60,20,40,500,false
177,independent,14,9.550484605050794,9.550484605050794,77,20,20,0,500,false
177,independent,18,3.0956850647683,3.0956850647683,13,0,20,-20,500,false
177,independent,20,1.2325931127956322,1.2325931127956322,6,0,20,-20,500,false
177,independent,4,1.6091880973446129,1.6091880973446129,7,0,20,-20,500,false
177,independent,17,2.1386505252665717,2.1386505252665717,8,0,20,-20,500,false
177,independent,8,8.451726280743133,8.451726280743133,52,0,20,-20,500,false
177,independent,19,9.316117415733913,9.316117415733913,70,0,20,-20,500,false
177,independent,11,9.018268780384316,9.018268780384316,59,60,20,40,500,false
177,independent,12,6.916146077789205,6.916146077789205,35,60,20,40,500,false
177,independent,5,4.471291721579932,4.471291721579932,23,0,20,-20,500,false
177,independent,6,3.164062791648453,3.164062791648453,12,0,20,-20,500,false
178,correlated,4,4.733696999496127,4.733696999496127,18,0,20,-20,500,false
178,correlated,8,1.255735202619302,1.255735202619302,4,60,20,40,500,false
178,correlated,2,7.140796075896819,7.140796075896819,30,0,20,-20,500,false
178,correlated,12,8.113006463783758,8.113006463783758,40,20,20,0,500,false
178,correlated,14,8.412221415813253,8.412221415813253,45,20,20,0,500,false
178,correlated,5,8.831929908060454,8.831929908060454,57,20,20,0,500,false
178,correlated,6,9.10781594673054,9.10781594673054,70,20,20,0,500,false
178,correlated,20,4.130548708300975,4.130548708300975,14,20,20,0,500,false
178,correlated,1,9.54885459243011,9.54885459243011,80,20,20,0,500,false
178,correlated,16,6.2702816294773935,6.2702816294773935,22,100,20,80,500,false
178,correlated,10,6.531440206973762,6.531440206973762,24,40,20,20,500,false
178,correlated,17,8.207383834847896,8.207383834847896,42,20,20,0,500,false
178,correlated,9,4.13511002593987,4.13511002593987,14,20,20,0,500,false
178,correlated,15,6.053126154594252,6.053126154594252,24,0,20,-20,500,false
178,correlated,18,6.676044423650471,6.676044423650471,26,0,20,-20,500,false
178,correlated,13,6.43066613105225,6.43066613105225,24,0,20,-20,500,false
178,correlated,11,5.9990799605014775,5.9990799605014775,23,0,20,-20,500,false
178,correlated,19,6.9059929053443065,6.9059929053443065,26,40,20,20,500,false
178,correlated,3,3.3614256052378124,3.3614256052378124,12,0,20,-20,500,false
178,correlated,7,3.5640820668969937,3.5640820668969937,12,20,20,0,500,false
178,independent,4,4.733696999496127,4.733696999496127,19,0,20,-20,500,false
178,independent,8,1.255735202619302,1.255735202619302,5,0,20,-20,500,false
178,independent,2,7.140796075896819,7.140796075896819,31,0,20,-20,500,false
178,independent,12,8.113006463783758,8.113006463783758,44,0,20,-20,500,false
178,independent,14,8.412221415813253,8.412221415813253,45,60,20,40,500,false
178,independent,5,8.831929908060454,8.831929908060454,57,20,20,0,500,false
178,independent,6,9.10781594673054,9.10781594673054,66,20,20,0,500,false
178,independent,20,4.130548708300975,4.130548708300975,14,0,20,-20,500,false
178,independent,1,9.54885459243011,9.54885459243011,102,20,20,0,500,false
178,independent,16,6.2702816294773935,6.2702816294773935,25,0,20,-20,500,false
178,independent,10,6.531440206973762,6.531440206973762,25,0,20,-20,500,false
178,independent,17,8.207383834847896,8.207383834847896,47,0,20,-20,500,false
178,independent,9,4.13511002593987,4.13511002593987,13,120,20,100,500,false
178,independent,15,6.053126154594252,6.053126154594252,27,0,20,-20,500,false
178,independent,18,6.676044423650471,6.676044423650471,27,0,20,-20,500,false
178,independent,13,6.43066613105225,6.43066613105225,24,100,20,80,500,false
178,independent,11,5.9990799605014775,5.9990799605014775,26,0,20,-20,500,false
178,independent,19,6.9059929053443065,6.9059929053443065,28,40,20,20,500,false
178,independent,3,3.3614256052378124,3.3614256052378124,13,0,20,-20,500,false
178,independent,7,3.5640820668969937,3.5640820668969937,12,0,20,-20,500,false
179,correlated,6,4.4941180215832475,4.4941180215832475,16,40,20,20,500,false
179,correlated,15,2.938757966224949,2.938757966224949,10,40,20,20,500,false
179,correlated,8,9.86105575022477,9.86105575022477,71,20,20,0,500,false
179,correlated,5,8.696954513030526,8.696954513030526,44,0,20,-20,500,false
179,correlated,10,7.248117752417132,7.248117752417132,31,20,20,0,500,false
179,correlated,12,4.439557218387994,4.439557218387994,16,20,20,0,500,false
179,correlated,13,4.020595487339092,4.020595487339092,15,0,20,-20,500,false
179,correlated,14,5.67741851577117,5.67741851577117,22,0,20,-20,500,false
179,correlated,11,2.5767667893296564,2.5767667893296564,9,0,20,-20,500,false
179,correlated,3,8.942309231118575,8.942309231118575,46,20,20,0,500,false
179,correlated,20,1.2387153264941837,1.2387153264941837,5,0,20,-20,500,false
179,correlated,4,6.1666312973961706,6.1666312973961706,23,80,20,60,500,false
179,correlated,9,7.229534458398008,7.229534458398008,31,0,20,-20,500,false
179,correlated,17,9.108913671863188,9.108913671863188,47,40,20,20,500,false
179,correlated,1,2.3824224593799146,2.3824224593799146,8,60,20,40,500,false
179,correlated,16,5.070675471802048,5.070675471802048,19,0,20,-20,500,false
179,correlated,7,8.137922283332639,8.137922283332639,38,20,20,0,500,false
179,correlated,19,9.591619787292005,9.591619787292005,60,20,20,0,500,false
179,correlated,18,5.977372038507026,5.977372038507026,24,0,20,-20,500,false
179,correlated,2,9.624516063267343,9.624516063267343,61,20,20,0,500,false
179,independent,6,4.4941180215832475,4.4941180215832475,16,0,20,-20,500,false
179,independent,15,2.938757966224949,2.938757966224949,14,0,20,-20,500,false
179,independent,8,9.86105575022477,9.86105575022477,86,20,20,0,500,false
179,independent,5,8.696954513030526,8.696954513030526,44,60,20,40,500,false
179,independent,10,7.248117752417132,7.248117752417132,34,0,20,-20,500,false
179,independent,12,4.439557218387994,4.439557218387994,18,0,20,-20,500,false
179,independent,13,4.020595487339092,4.020595487339092,13,120,20,100,500,false
179,independent,14,5.67741851577117,5.67741851577117,24,0,20,-20,500,false
179,independent,11,2.5767667893296564,2.5767667893296564,10,0,20,-20,500,false
179,independent,3,8.942309231118575,8.942309231118575,51,0,20,-20,500,false
179,independent,20,1.2387153264941837,1.2387153264941837,4,20,20,0,500,false
179,independent,4,6.1666312973961706,6.1666312973961706,24,0,20,-20,500,false
179,independent,9,7.229534458398008,7.229534458398008,30,40,20,20,500,false
179,independent,17,9.108913671863188,9.108913671863188,52,20,20,0,500,false
179,independent,1,2.3824224593799146,2.3824224593799146,8,0,20,-20,500,false
179,independent,16,5.070675471802048,5.070675471802048,20,0,20,-20,500,false
179,independent,7,8.137922283332639,8.137922283332639,40,0,20,-20,500,false
179,independent,19,9.591619787292005,9.591619787292005,63,40,20,20,500,false
179,independent,18,5.977372038507026,5.977372038507026,22,60,20,40,500,false
179,independent,2,9.624516063267343,9.624516063267343,67,0,20,-20,500,false
180,correlated,1,2.402107594045802,2.402107594045802,9,40,20,20,500,false
180,correlated,6,1.2989328031679177,1.2989328031679177,6,0,20,-20,500,false
180,correlated,20,6.278851355456857,6.278851355456857,29,20,20,0,500,false
180,correlated,12,7.292520845687519,7.292520845687519,42,20,20,0,500,false
180,correlated,18,2.093844735725891,2.093844735725891,8,0,20,-20,500,false
180,correlated,14,7.382549444672457,7.382549444672457,45,20,20,0,500,false
180,correlated,9,7.021555086738088,7.021555086738088,38,20,20,0,500,false
180,correlated,2,5.419465951308872,5.419465951308872,23,40,20,20,500,false
180,correlated,4,8.12188391193478,8.12188391193478,66,20,20,0,500,false
180,correlated,16,6.76503132203483,6.76503132203483,33,40,20,20,500,false
180,correlated,11,1.9970872112102453,1.9970872112102453,9,0,20,-20,500,false
180,correlated,13,8.932050547846423,8.932050547846423,147,20,20,0,500,false
180,correlated,3,6.4760273392381205,6.4760273392381205,31,20,20,0,500,false
180,correlated,7,4.400503456706547,4.400503456706547,18,0,20,-20,500,false
180,correlated,17,4.412286617874729,4.412286617874729,17,80,20,60,500,false
180,correlated,5,5.594621341630398,5.594621341630398,27,0,20,-20,500,false
180,correlated,15,6.443301374868307,6.443301374868307,32,0,20,-20,500,false
180,correlated,19,4.837411731848473,4.837411731848473,20,0,20,-20,500,false
180,correlated,10,2.1438928418644685,2.1438928418644685,8,40,20,20,500,false
